lane,category,pick,reason
top,engage,Malphite,アルティメットの広範囲ノックアップで集団戦を一手で開ける。
top,engage,Ornn,アルティメット2連発の確定CCで強引にエンゲージできる。
top,aoe,Gnar,メガ化時の範囲ノックアップとAoEで複数体を巻き込める。
top,assassin,Camille,アルティメットで後衛を隔離して確実に処理できる。
top,fighter,Aatrox,範囲ダメージと回復で前線を維持しながら殴り合える。
top,fighter,Fiora,デュエル最強格でサイドを割りながら集団戦も寄与。
top,tank,Ornn,高耐久と味方装備強化でチーム全体を底上げするタンク。
top,tank,Sion,壁役と長距離エンゲージを兼ねる純タンク。
jungle,engage,JarvanIV,EQRの確定エンゲージで集団戦の起点を作れる。
jungle,engage,Sejuani,アルティメットの確定スタンで主要ターゲットを止められる。
jungle,aoe,Zac,複数体を巻き込むノックアップとAoEで集団戦を荒らせる。
jungle,assassin,Kayn,変身後の高バーストで後衛を一瞬で処理できる。
jungle,assassin,Khazix,孤立ターゲットへの爆発火力で暗殺を担える。
jungle,fighter,LeeSin,序盤干渉とデュエル性能で前線を作れる。
jungle,tank,Sejuani,確定CCと高耐久を両立する前線タンク。
mid,engage,Galio,アルティメットの範囲タウントで集団戦を開ける。
mid,aoe,Orianna,シヴァリングソードの範囲バーストとCCで集団戦を支配。
mid,aoe,Viktor,範囲ダメージの継続火力でAoEを担保。
mid,assassin,Zed,後衛を確実に落とすバースト暗殺役。
mid,assassin,Akali,隠密と機動力で狙ったキャリーを処理できる。
mid,fighter,Sylas,回復とCCを兼ねる粘り強いブルーザーメイジ。
mid,tank,Galio,メイジ耐性と範囲CCを持つ前衛メイジ。
bot,engage,Ashe,アルティメットの長距離確定スタンで起点を作れる。
bot,aoe,MissFortune,アルティメットの大範囲ダメージで集団戦を制圧。
bot,aoe,Jinx,設置物と範囲攻撃でチーム戦のAoEを担保。
bot,assassin,Vayne,後半の単体溶かし性能でタンクもキャリーも処理。
bot,fighter,Lucian,手数の多い継続火力で前目の殴り合いに対応。
bot,tank,Sion,壁役としてのフロントライン（採用は構成次第）。
support,engage,Leona,確定CC連打の最強格エンゲージサポート。
support,engage,Nautilus,確定CCを連続で当てて主要ターゲットを縛れる。
support,engage,Thresh,フック起点とランタンで攻守に貢献。
support,aoe,Amumu,アルティメットの範囲スタンで集団戦を一手で決める。
support,assassin,Pyke,処刑アルティメットで瀕死の敵を狩って加速する。
support,fighter,Pantheon,前目の圧力とエンゲージを兼ねる殴れるサポート。
support,tank,Leona,高耐久と確定CCを両立する前線サポート。
support,tank,Braum,味方をかばう壁性能と確定スタンを持つタンク。
