lane,pick,reason
top,Ornn,対面を選ばず腐りにくく、集団戦でアルティメットの追加CCが強力。先出しでも安定。
top,Malphite,メイジにもADにも防具を切り替えて対応でき、構成を見てから動ける。
top,Sett,序盤から終盤まで腐らず、エンゲージもタンクも兼ねられる万能枠。
jungle,Sejuani,カウンター指名を受けにくく、どんな構成にもエンゲージとCCで貢献できる。
jungle,JarvanIV,序盤の干渉力が高く、相手ジャングルを選ばず仕掛けられる。
jungle,Vi,確定CCの単体エンゲージで、後出しの敵キャリーにも刺さりやすい。
mid,Orianna,メイジ対面に強く、集団戦のシールドボールで構成不問に活躍。
mid,Galio,メイジ耐性が高くロームも強力、先出しでも腐りにくい。
mid,Viktor,スケールが高くレーン無難、終盤の制圧力で先出し向き。
bot,Ezreal,安全性が高くプッシュにもキャイトにも対応、対面を選ばない。
bot,Jinx,スケール最強格でどの構成にも入る、先出しの王道。
bot,Caitlyn,射程で序盤主導権を握りやすく、相手ADCを選ばない。
support,Thresh,フックとランタンで攻守に万能、相手サポートを問わず機能。
support,Nautilus,確定CC連打でエンゲージ性能が高く、構成不問。
support,Karma,ポークとシールドで対面有利を作りやすく腐りにくい。
